"filename", "language", "Markdown", "JSON", "Python", "HTML", "JavaScript", "CSS", "JavaScript React", "Less", "XML", "JSON with Comments", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\.idea\SE-Project-Front.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"d:\工作\软工实验\sep\SE-Project-Front\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"d:\工作\软工实验\sep\SE-Project-Front\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\工作\软工实验\sep\SE-Project-Front\.idea\runConfigurations.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"d:\工作\软工实验\sep\SE-Project-Front\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\工作\软工实验\sep\SE-Project-Front\README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 101
"d:\工作\软工实验\sep\SE-Project-Front\config\config.dev.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 1, 15
"d:\工作\软工实验\sep\SE-Project-Front\config\config.js", "JavaScript", 0, 0, 0, 0, 561, 0, 0, 0, 0, 0, 41, 4, 606
"d:\工作\软工实验\sep\SE-Project-Front\config\defaultSettings.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"d:\工作\软工实验\sep\SE-Project-Front\config\oneapi.json", "JSON", 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 594
"d:\工作\软工实验\sep\SE-Project-Front\config\proxy.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 1, 38
"d:\工作\软工实验\sep\SE-Project-Front\config\routes.js", "JavaScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 1, 61
"d:\工作\软工实验\sep\SE-Project-Front\docs\index.md", "Markdown", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 360
"d:\工作\软工实验\sep\SE-Project-Front\jest.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\工作\软工实验\sep\SE-Project-Front\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 0, 11
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649507953619.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649594162262.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649594178239.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db.json", "JSON", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 199
"d:\工作\软工实验\sep\SE-Project-Front\json-server\package-lock.json", "JSON", 0, 3538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3539
"d:\工作\软工实验\sep\SE-Project-Front\json-server\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\json-server\people.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\readme.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\工作\软工实验\sep\SE-Project-Front\json-server\result.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\router.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\工作\软工实验\sep\SE-Project-Front\json-server\server.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 90, 3, 111
"d:\工作\软工实验\sep\SE-Project-Front\mock\listTableList.js", "JavaScript", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 2, 29, 179
"d:\工作\软工实验\sep\SE-Project-Front\mock\notices.js", "JavaScript", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 106
"d:\工作\软工实验\sep\SE-Project-Front\mock\route.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\工作\软工实验\sep\SE-Project-Front\mock\user.js", "JavaScript", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 68, 13, 224
"d:\工作\软工实验\sep\SE-Project-Front\package-lock.json", "JSON", 0, 31601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31602
"d:\工作\软工实验\sep\SE-Project-Front\package.json", "JSON", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 149
"d:\工作\软工实验\sep\SE-Project-Front\people.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\工作\软工实验\sep\SE-Project-Front\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\工作\软工实验\sep\SE-Project-Front\public\pro_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\工作\软工实验\sep\SE-Project-Front\reports\TestRepo.html", "HTML", 0, 0, 0, 1677, 0, 0, 0, 0, 0, 0, 2, 402, 2081
"d:\工作\软工实验\sep\SE-Project-Front\reports\history.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\工作\软工实验\sep\SE-Project-Front\seletest\CustomerContractFill.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"d:\工作\软工实验\sep\SE-Project-Front\seletest\CustomerEntrustFill.py", "Python", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"d:\工作\软工实验\sep\SE-Project-Front\seletest\CustomerQuotationAccept.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"d:\工作\软工实验\sep\SE-Project-Front\seletest\assign.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\工作\软工实验\sep\SE-Project-Front\seletest\entvertest.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 1, 26
"d:\工作\软工实验\sep\SE-Project-Front\seletest\fill.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 41, 2, 85
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktContractFill.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktContractVerify.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 2, 36
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktEntrustVerify.py", "Python", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 2, 52
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktQuotationFill.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktUpload.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 2, 34
"d:\工作\软工实验\sep\SE-Project-Front\seletest\qasTestAssign.py", "Python", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 2, 36
"d:\工作\软工实验\sep\SE-Project-Front\seletest\test.py", "Python", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 16, 6, 146
"d:\工作\软工实验\sep\SE-Project-Front\seletest\testEntrustVerify.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 2, 40
"d:\工作\软工实验\sep\SE-Project-Front\seletest\test_test.py", "Python", 0, 0, 898, 0, 0, 0, 0, 0, 0, 0, 31, 48, 977
"d:\工作\软工实验\sep\SE-Project-Front\seletest\testsEntrustAssign.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 2, 38
"d:\工作\软工实验\sep\SE-Project-Front\src\access.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 1, 10
"d:\工作\软工实验\sep\SE-Project-Front\src\app.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 17, 8, 84
"d:\工作\软工实验\sep\SE-Project-Front\src\components\ApplicationForm\index.css", "CSS", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 3, 13, 78
"d:\工作\软工实验\sep\SE-Project-Front\src\components\ApplicationForm\index.js", "JavaScript", 0, 0, 0, 0, 371, 0, 0, 0, 0, 0, 10, 33, 414
"d:\工作\软工实验\sep\SE-Project-Front\src\components\Footer\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 37
"d:\工作\软工实验\sep\SE-Project-Front\src\components\HeaderDropdown\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\工作\软工实验\sep\SE-Project-Front\src\components\HeaderDropdown\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"d:\工作\软工实验\sep\SE-Project-Front\src\components\HeaderSearch\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 4, 84
"d:\工作\软工实验\sep\SE-Project-Front\src\components\HeaderSearch\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\ArrayField\index.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 10, 1, 42
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\ObjectField\index.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 2, 48
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\SchemaField\index.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 8, 2, 49
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\StringField\index.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 10, 2, 41
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\index.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\ArrayTable\index.css", "CSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\ArrayTable\index.js", "JavaScript", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 36, 2, 179
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\CheckboxWidget\index.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 5, 1, 51
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\RadioWidget\index.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 1, 45
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\StringInputWidget\index.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\StringInputWidget\index.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 9, 1, 30
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\TextareaWidget\index.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\TextareaWidget\index.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 8, 1, 33
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\index.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\index.css", "CSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\index.js", "JavaScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 6, 54
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\utils\index.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"d:\工作\软工实验\sep\SE-Project-Front\src\components\NoticeIcon\NoticeIcon.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 9, 115
"d:\工作\软工实验\sep\SE-Project-Front\src\components\NoticeIcon\NoticeList.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 5, 98
"d:\工作\软工实验\sep\SE-Project-Front\src\components\NoticeIcon\NoticeList.less", "Less", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 8, 104
"d:\工作\软工实验\sep\SE-Project-Front\src\components\NoticeIcon\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 19, 149
"d:\工作\软工实验\sep\SE-Project-Front\src\components\NoticeIcon\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"d:\工作\软工实验\sep\SE-Project-Front\src\components\RightContent\AvatarDropdown.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 5, 11, 104
"d:\工作\软工实验\sep\SE-Project-Front\src\components\RightContent\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 34, 7, 67
"d:\工作\软工实验\sep\SE-Project-Front\src\components\RightContent\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 6, 85
"d:\工作\软工实验\sep\SE-Project-Front\src\components\SearchBar\index.css", "CSS", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"d:\工作\软工实验\sep\SE-Project-Front\src\components\SearchBar\index.js", "JavaScript", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 7, 12, 102
"d:\工作\软工实验\sep\SE-Project-Front\src\components\index.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\工作\软工实验\sep\SE-Project-Front\src\components\index.md", "Markdown", 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 273
"d:\工作\软工实验\sep\SE-Project-Front\src\components\paper\index.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"d:\工作\软工实验\sep\SE-Project-Front\src\components\paper\index.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\工作\软工实验\sep\SE-Project-Front\src\e2e\baseLayout.e2e.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"d:\工作\软工实验\sep\SE-Project-Front\src\global.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 5, 12, 109
"d:\工作\软工实验\sep\SE-Project-Front\src\global.less", "Less", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 5, 12, 62
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\bn-BD.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\bn-BD\component.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\bn-BD\globalHeader.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\bn-BD\menu.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\bn-BD\pages.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\bn-BD\pwa.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\bn-BD\settingDrawer.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\bn-BD\settings.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\component.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\globalHeader.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\menu.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\pages.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\pwa.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\settingDrawer.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\en-US\settings.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\component.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\globalHeader.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\menu.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\pages.js", "JavaScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 1, 68
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\pwa.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\settingDrawer.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\settings.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\component.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\globalHeader.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\menu.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\pages.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\pwa.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\settingDrawer.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\settings.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\component.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\globalHeader.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\menu.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\pages.js", "JavaScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 1, 68
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\pwa.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\settingDrawer.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\settings.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\component.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\globalHeader.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\menu.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\pages.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\pwa.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\settingDrawer.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\settings.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
